Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO NATO VETORAZZO LTDA; 24.300.750/0001-47;AVENIDA APARECIDA DE SOUZA VETORAZZO;350;LOTE  01 E 02             QUADRA34;RESIDENCIAL NATO VETORASSO;15042-101;GLP;09/07/2025;130,00;;R$ / 13 kg;ULTRAGAZ
NE;BA;FEIRA DE SANTANA;J J SANTOS GAS LTDA; 33.040.853/0002-97;AVENIDA DEPUTADO COLBERT MARTINS DA SILVA;586;;TOMBA;44091-002;GLP;10/07/2025;104,99;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;MG;GOVERNADOR VALADARES;P. DA S.M. COSTA - GAS; 32.334.273/0001-69;AVENIDA DO CANAL;40;;ALTINOPOLIS;35053-060;GLP;10/07/2025;125,00;;R$ / 13 kg;COPA ENERGIA
N;PA;BELEM;G2F COMERCIO DE COMBUSTIVEIS LTDA; 34.808.701/0001-73;AVENIDA TAVARES BASTOS;1533;A;MARAMBAIA;66615-005;GLP;07/07/2025;115,00;;R$ / 13 kg;BAHIANA
CO;MS;DOURADOS;AUTO POSTO SAN FRANCISCO LTDA.; 04.655.306/0001-37;RUA PONTA PORA;2575;;VILA PLANALTO;79825-080;GLP;07/07/2025;114,99;;R$ / 13 kg;COPA ENERGIA
NE;PI;TERESINA;M & P COMERCIO DE GAS LTDA; 33.847.388/0001-10;RUA BENEDITINOS;1901;LETRA A;MACAUBA;64016-088;GLP;10/07/2025;110,00;;R$ / 13 kg;ULTRAGAZ
S;RS;PORTO ALEGRE;VRP COMERCIO E DISTRIBUICAO DE GAS EIRELI; 35.492.336/0001-01;AVENIDA ASSIS BRASIL;1513;;PASSO DA AREIA;91010-005;GLP;08/07/2025;118,00;;R$ / 13 kg;ULTRAGAZ
SE;SP;MOGI DAS CRUZES;AQUARELLA - GAS E AGUA LTDA; 34.735.783/0001-73;AVENIDA HENRIQUE EROLES;863;;ALTO IPIRANGA;08730-590;GLP;09/07/2025;109,99;;R$ / 13 kg;ULTRAGAZ
SE;MG;MONTES CLAROS;L R C GAS LTDA; 36.880.397/0001-09;AVENIDA MANOEL MAGALHAES FILHO;835;;DELFINO MAGALHAES;39402-518;GLP;08/07/2025;120,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;MG;MONTES CLAROS;ROCHA DISTRIBUIDORA DE GAS GLP EIRELI; 35.858.485/0004-86;AVENIDA CORONEL LUIZ MAIA;2130;;DELFINO MAGALHAES;39402-824;GLP;08/07/2025;104,99;;R$ / 13 kg;COPA ENERGIA
SE;SP;JUNDIAI;OI GAS COMERCIO DE GAS E AGUA LTDA; 35.344.713/0001-57;AVENIDA UNIAO DOS FERROVIARIOS;3079;;PONTE DE CAMPINAS;13201-160;GLP;08/07/2025;105,99;;R$ / 13 kg;CONSIGAZ
S;PR;LONDRINA;GAS 0300 LTDA; 36.734.936/0001-93;AVENIDA WINSTON CHURCHILL;901;;ANDES;86076-000;GLP;07/07/2025;105,00;;R$ / 13 kg;ULTRAGAZ
CO;GO;GOIANIA;DISTRIBUIDORA DE GAS SAGRADA FAMILIA LTDA; 30.952.756/0001-00;RUA DAS PALMAS;549;QUADRA125                 LOTE  01 E 30;PARQUE OESTE INDUSTRIAL;74375-740;GLP;11/07/2025;110,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
N;AC;RIO BRANCO;AUTO POSTO CIDADE LTDA; 06.321.359/0002-28;RUA ISAURA PARENTE;671;;BOSQUE;69900-490;GLP;10/07/2025;125,00;;R$ / 13 kg;FOGAS
N;RR;BOA VISTA;ELIANA FERNANDES DE SOUZA; 08.515.450/0001-29;AVENIDA RUI BARAUNA;1459;;CARANA;69313-600;GLP;09/07/2025;155,00;;R$ / 13 kg;AMAZONGÁS
NE;PI;TERESINA;CARLOS WELLINGTON NUNES FERREIRA LTDA; 05.584.976/0008-49;AVENIDA PREFEITO WALL FERRAZ;8865;;LOURIVAL PARENTE;64022-800;GLP;10/07/2025;100,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;RJ;RIO DE JANEIRO;RAFAEL RIBEIRO MONTEIRO DE CASTRO COMERCIO DE GAS LTDA; 30.935.410/0001-95;RUA JOAO MACHADO;S/N;LOTE 4 E 5;IRAJA;21361-490;GLP;07/07/2025;97,00;;R$ / 13 kg;BRANCA
CO;GO;APARECIDA DE GOIANIA;CRISTINA MORAIS DE LIMA; 31.844.246/0001-73;RUA 109;sn;"QUADRA 56;LOTE 01";JARDIM TROPICAL;74946-120;GLP;07/07/2025;100,00;;R$ / 13 kg;BRANCA
SE;SP;SAO JOSE DOS CAMPOS;MIONI E FAMILIA GAS E AGUA LTDA; 06.155.663/0002-42;RUA DA INDEPENDENCIA;27;;VILA VENEZIANI;12212-531;GLP;09/07/2025;98,00;;R$ / 13 kg;ULTRAGAZ
SE;SP;SAO CARLOS;JOSE LUIS ALBIERI; 37.465.442/0001-13;AVENIDA BRUNO RUGGIERO FILHO;1321;;PARQUE SANTA FELICIA JARDIM;13562-420;GLP;10/07/2025;127,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
CO;DF;BRASILIA;GOLD GAS COMERCIO DE GLP LTDA; 33.935.781/0001-65;QUADRA QS 9 RUA 150 LOTE;2;;AREAL (AGUAS CLARAS);71976-540;GLP;10/07/2025;102,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;PE;RECIFE;SAO JOSE GAS LTDA; 35.245.207/0001-00;RUA ODORICO MENDES;689;;CAMPO GRANDE;52031-080;GLP;08/07/2025;89,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
CO;MT;VARZEA GRANDE;DISTRIBUIDORA DE GAS E AGUA COMETA LTDA; 00.882.785/0001-73;RUA CONEGO GUIMARAES (LOT JD ELDORADO);276;ANEXO 02                  FUNDOSRUA JOAO A. PARANHOS;SANTA ISABEL;78150-618;GLP;08/07/2025;99,99;;R$ / 13 kg;BRANCA
NE;MA;SAO LUIS;TDI COMERCIO DE COMBUSTIVEIS E SERVICOS LTDA; 32.788.893/0001-78;AVENIDA SAO LUIS REI DE FRANCA;412;SALA  01;JARDIM ATLANTICO;65067-095;GLP;09/07/2025;119,99;;R$ / 13 kg;LIQUIGÁS
SE;ES;SERRA;M D COMERCIO VAREJISTA DE GAS LTDA; 37.653.766/0001-85;RUA CEDRO;17;LETRA B;JOSE DE ANCHIETA;29162-303;GLP;08/07/2025;93,99;;R$ / 13 kg;BRANCA
SE;SP;SAO JOSE DOS CAMPOS;DISTRIBUIDORA DE GAS E AGUA SANTA TEREZINHA LTDA; 08.233.673/0005-27;RUA JOAO ADAO;440;;RESIDENCIAL GAZZO;12236-853;GLP;09/07/2025;87,99;;R$ / 13 kg;BRANCA
SE;SP;AMERICANA;CARMO & BATISTA COMERCIO DE BEBIDAS LTDA; 37.482.498/0001-86;AVENIDA DE CILLO;3077;;PARQUE NOVO MUNDO;13467-600;GLP;08/07/2025;99,99;;R$ / 13 kg;ULTRAGAZ
N;RR;BOA VISTA;ROBSON MELO DE SOUZA; 36.937.428/0001-02;RUA ALCIDES LIMA;341;;CAIMBE;69312-172;GLP;09/07/2025;138,00;;R$ / 13 kg;FOGAS
SE;MG;MONTES CLAROS;ROCHA DISTRIBUIDORA DE GAS GLP EIRELI; 35.858.485/0003-03;AVENIDA NOSSA SENHORA DE FATIMA;1735;;MARACANA;39403-238;GLP;08/07/2025;104,99;;R$ / 13 kg;COPA ENERGIA
CO;MT;CUIABA;GLAUCIA ROSARIO LOPES; 22.690.017/0001-50;AVENIDA GOVERNADOR DANTE MARTINS DE OLIVEIRA;2884;;CARUMBE;78050-700;GLP;09/07/2025;118,00;;R$ / 13 kg;COPA ENERGIA
SE;SP;SAO CARLOS;SAMUEL ODAIR BUCHI FERREIRA; 18.001.841/0002-60;RUA DOUTOR WALTER CAMARGO SCHULTZER;860;;VILA SAO JOSE;13567-102;GLP;10/07/2025;128,90;;R$ / 13 kg;CONSIGAZ
CO;DF;BRASILIA;LIMA GAS LTDA; 38.068.800/0001-17;QUADRA QS 5 PRACA AGUAS CLARAS 2 LOTE;9;;AREAL (AGUAS CLARAS);71961-800;GLP;10/07/2025;105,00;;R$ / 13 kg;BRANCA
NE;AL;MACEIO;CICERA GILVANIA INACIO MORAES RODRIGUES; 36.653.104/0001-42;RUA DO CAJUEIRO;7;;VERGEL DO LAGO;57015-030;GLP;09/07/2025;100,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
CO;MS;CAMPO GRANDE;POSTO VIA NORTE LTDA; 20.025.135/0002-08;RUA RUI BARBOSA;1263;;CENTRO;79004-430;GLP;08/07/2025;105,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
CO;MT;VARZEA GRANDE;JANIO TENORIO ALVES; 32.640.276/0001-20;RUA DOS IPES (LOT V ALEGRE);350;;PONTE NOVA;78115-430;GLP;08/07/2025;114,99;;R$ / 13 kg;ULTRAGAZ
SE;SP;PIRACICABA;DELANIA FRANCISCA DE SOUZA; 37.335.058/0001-04;AVENIDA TAUBATE;322;;PERDIZES;13423-570;GLP;07/07/2025;105,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;SAO CARLOS;SAMUEL ODAIR BUCHI FERREIRA; 18.001.841/0004-21;AVENIDA LIBERDADE;284;;JARDIM NOVA SANTA PAULA;13564-331;GLP;10/07/2025;125,90;;R$ / 13 kg;BRANCA
S;SC;BLUMENAU;BASE - GAS REGIONAL LTDA; 06.983.577/0007-32;RUA FREDERICO JENSEN;1618;;ITOUPAVAZINHA;89066-300;GLP;07/07/2025;114,90;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;RIBEIRAO PRETO;MARCO AURELIO VINICIUS DE OLIVEIRA COMERCIO DE GAS; 37.690.601/0001-83;AVENIDA OSWALDO ARANHA;488;;PARQUE RIBEIRAO PRETO;14031-238;GLP;07/07/2025;100,00;;R$ / 13 kg;COPA ENERGIA
SE;SP;ARACATUBA;JOIA COMERCIO LTDA; 24.461.722/0003-73;AVENIDA JOSE FERREIRA BATISTA;2400;;MACHADO DE MELLO;16052-280;GLP;07/07/2025;95,99;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;MA;SAO LUIS;L S COMERCIO E SERVICOS LTDA; 12.125.791/0014-80;AVENIDA DOS HOLANDESES;2;LOTE  01 E 02             QUADRAR  JARDIM PAULISTA;OLHO D'AGUA;65065-180;GLP;09/07/2025;119,99;;R$ / 13 kg;LIQUIGÁS
SE;MG;BELO HORIZONTE;W DE PAULA PEREIRA COMERCIO DE GAS; 37.576.822/0001-25;RUA MARIA DE LOURDES DA CRUZ;488;;MANTIQUEIRA;31655-230;GLP;07/07/2025;94,99;;R$ / 13 kg;BRANCA
NE;PE;JABOATAO DOS GUARARAPES;MARIA DE LOURDES SOARES; 31.574.282/0001-64;RUA RUI BARBOSA;359;;CAJUEIRO SECO;54330-560;GLP;09/07/2025;99,99;;R$ / 13 kg;BAHIANA
NE;PE;CARUARU;CAPITAL COMERCIO VAREJISTA DE GAS E AGUA LTDA; 31.160.977/0001-08;RUA JOSE JOAQUIM DA SILVA;95;;SALGADO;55018-765;GLP;07/07/2025;90,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;PR;CURITIBA;AUTO POSTO JARDIM PINHEIROS LTDA; 06.068.071/0001-02;RUA JOAO REFFO;1384;;SANTA FELICIDADE;82410-000;GLP;11/07/2025;99,99;;R$ / 13 kg;BRANCA
SE;MG;GOVERNADOR VALADARES;SANTA RITA DISTRIBUIDORA DE GAS EIRELI; 37.305.196/0001-32;AVENIDA WENCESLAU BRAZ;2403 A;;SANTA RITA;35040-570;GLP;10/07/2025;119,00;;R$ / 13 kg;LIQUIGÁS
NE;PI;TERESINA;F DO CARMO DOS SANTOS SILVA; 37.469.353/0001-45;RUA JOAO ISIDORO FRANCA;5989;;POTI VELHO;64008-010;GLP;09/07/2025;110,00;;R$ / 13 kg;BAHIANA
SE;SP;PIRACICABA;ULTRA SERVE COMERCIO DE GAS LTDA.; 37.146.116/0001-43;RUA DOMINGOS MAZONETO;33;;JARDIM ALGODOAL;13405-411;GLP;07/07/2025;110,00;;R$ / 13 kg;ULTRAGAZ
SE;RJ;NOVA IGUACU;E. S. DA CONCEICAO GAS; 33.117.442/0001-71;AVENIDA ABILIO AUGUSTO TAVORA;1748;QUADRAX                   LOTE  2;NOVA ERA;26275-580;GLP;09/07/2025;120,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;TO;PALMAS;R.S DOS SANTOS EIRELI; 25.534.144/0002-30;QUADRA 1112 SUL ALAMEDA 4, QI. B,;S/N;LOTE  03;PLANO DIRETOR SUL;77024-156;GLP;07/07/2025;120,00;;R$ / 13 kg;LIQUIGÁS
SE;SP;SAO PAULO;BROOKLINGAS COMERCIO DE GAS LTDA; 28.197.449/0001-00;AVENIDA JOAO DIAS;159;;SANTO AMARO;04723-000;GLP;07/07/2025;115,00;;R$ / 13 kg;CONSIGAZ
SE;MG;JUIZ DE FORA;W STRAUSS LOPES; 36.924.731/0001-70;RUA PROFESSOR JOAO CORREA BARBOSA;21;;SANTA TEREZINHA;36046-060;GLP;07/07/2025;89,99;;R$ / 13 kg;BRANCA
N;PA;BELEM;MARAJO CARDOSO COMERCIO VAREJISTA DE GLP LTDA; 11.001.001/0002-58;RODOVIA AUGUSTO MONTENEGRO;1247C;;CAMPINA DE ICOARACI (ICOARACI);66813-000;GLP;07/07/2025;109,99;;R$ / 13 kg;BAHIANA
S;RS;CANOAS;GAS SUL COMERCIO DE GAS LTDA; 35.416.295/0001-66;RUA TOBIAS BARRETO;681;;NOSSA SENHORA DAS GRACAS;92110-310;GLP;08/07/2025;100,00;;R$ / 13 kg;ULTRAGAZ
S;PR;CURITIBA;CYRO RAPHAEL ROBERTO GAS; 38.905.240/0001-08;AVENIDA DA INTEGRACAO;1892;;BAIRRO ALTO;82840-290;GLP;10/07/2025;99,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;BA;SALVADOR;ANDREA PATRICK DE ANDRADE DE ALMEIDA COMERCIO VAREJISTA DE GAS; 04.185.631/0001-83;RUA NOVA DO VALE;1;LOJA 01 LOJA 01;PERNAMBUES;41130-440;GLP;10/07/2025;113,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
CO;GO;APARECIDA DE GOIANIA;N M LOPES GOOSSENS; 36.886.142/0001-45;RUA FLAMBOYANT;SN;QUADRA004                 LOTE  0022;RESIDENCIAL CARAIBAS;74946-601;GLP;07/07/2025;110,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;CE;FORTALEZA;FJ DISTRIBUIDORA DE GAS LTDA; 37.537.844/0001-86;RUA CONEGO DE CASTRO;4537;;CANINDEZINHO;60764-205;GLP;08/07/2025;104,99;;R$ / 13 kg;LIQUIGÁS
S;RS;PELOTAS;ATACADAO DO GAS DISTRIBUIDORA LTDA; 37.670.039/0001-26;AVENIDA THEODORO MULLER;2794;;FRAGATA;96040-160;GLP;10/07/2025;106,90;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;BA;SALVADOR;JE COMERCIO VAREJISTA DE GAS LTDA; 38.244.924/0001-06;RUA ENGENHEIRA MAGNOLIA TEIXEIRA;2;;PRAIA DO FLAMENGO;41603-470;GLP;09/07/2025;130,00;;R$ / 13 kg;COPA ENERGIA
S;PR;CURITIBA;ATUBA COMERCIO DE GAS E AGUA LTDA; 39.893.939/0001-68;AVENIDA MARECHAL MASCARENHAS DE MORAES;2200;;ATUBA;82620-300;GLP;10/07/2025;92,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
S;RS;PELOTAS;JAIR DUMMER HUTTNER; 01.113.343/0001-25;AVENIDA FERNANDO OSORIO;6810;;TRES VENDAS;96070-850;GLP;09/07/2025;112,00;;R$ / 13 kg;LIQUIGÁS
CO;GO;GOIANIA;ZOOM GAS EIRELI; 38.443.572/0001-18;RUA C25;202;QUADRA39                  LOTE  05;BRO JARDIM AMERICA;74265-150;GLP;11/07/2025;120,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO VILLAGE MALL LTDA; 25.047.493/0001-46;AVENIDA JOSE DA SILVA SE;630;;VILLAGE DAMHA RIO PRETO III;15056-110;GLP;09/07/2025;120,00;;R$ / 13 kg;ULTRAGAZ
NE;MA;SAO LUIS;AGUIAR PETROLEO E LOCACOES LTDA; 27.192.758/0007-10;AVENIDA ITAPIRACO;S/N;LOTE  ITAPIRACO;ANIL;65051-160;GLP;09/07/2025;119,99;;R$ / 13 kg;COPA ENERGIA
SE;MG;MONTES CLAROS;KL COMERCIO DE GAS LTDA; 39.821.857/0001-08;RUA JURAMENTO;325;LETRA A;CINTRA;39400-381;GLP;08/07/2025;105,00;;R$ / 13 kg;ULTRAGAZ
SE;ES;VITORIA;TL GAS LTDA; 39.226.179/0001-35;AVENIDA MARECHAL CAMPOS;601;;DE LOURDES;29042-763;GLP;10/07/2025;130,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;RJ;PETROPOLIS;CHARLES PIMENTEL COMERCIO DE GAS LTDA; 36.756.322/0001-02;ESTRADA MINEIRA;1515;;CORREAS;25720-252;GLP;07/07/2025;100,00;;R$ / 13 kg;BRANCA
NE;AL;MACEIO;SHALON ADONAI GAS LTDA; 39.917.407/0001-13;RUA DESEMBARGADOR CARLOS DE GUSMAO;SN;LOTE  03;TABULEIRO DO MARTINS;57081-366;GLP;09/07/2025;89,99;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;PE;CARUARU;ELIELSON R S DA SILVA GAS; 20.786.572/0001-55;RUA MARTINS FRANCISCO;67;CASA A;SALGADO;55020-360;GLP;07/07/2025;90,00;;R$ / 13 kg;BAHIANA
N;AP;MACAPA;M. H. F. LIMA - EIRELI; 36.287.386/0001-01;AVENIDA SALGADO FILHO;759;;SANTA RITA;68901-281;GLP;08/07/2025;132,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;JACAREI;CLEBER FERNANDO DA SILVA COMERCIO DE GAS; 39.599.546/0001-46;AVENIDA DANTE SIANI;338;;JARDIM SANTA MARINA;12312-420;GLP;09/07/2025;100,00;;R$ / 13 kg;FOGAS
SE;ES;VITORIA;XANDOM GAS E AGUA LTDA; 39.982.619/0001-84;AVENIDA NAIR AZEVEDO SILVA;220;;ILHA DO PRINCIPE;29020-240;GLP;10/07/2025;100,00;;R$ / 13 kg;BRANCA
CO;MS;CAMPO GRANDE;AUTO POSTO SAO JORGE LTDA; 15.144.169/0003-54;RUA CHAPARRAL;21;;JARDIM TARUMA;79097-450;GLP;08/07/2025;110,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
CO;MT;CUIABA;DISTRIBUIDORA TO NO GAS LTDA; 13.551.632/0001-95;AVENIDA GONCALO ANTUNES DE BARROS;31;QUADRA21 LOTE 31;CARUMBE;78050-667;GLP;09/07/2025;110,00;;R$ / 13 kg;FOGAS
NE;BA;SALVADOR;REI GAS COMERCIO VAREJISTA DE GLP EIRELI; 38.821.052/0001-00;RUA PROFESSOR PLINIO GARCEZ DE SENA;S/N;;MUSSURUNGA I;41490-340;GLP;10/07/2025;128,00;;R$ / 13 kg;BAHIANA
SE;SP;BAURU;ZILOGAS BAURU LTDA; 22.889.416/0008-11;AVENIDA DOUTOR MARCOS DE PAULA RAPHAEL 32 QUADRA 9;27-25;;NUCLEO HABITACIONAL MARY DOTA;17026-970;GLP;07/07/2025;95,00;;R$ / 13 kg;BRANCA
S;RS;CANOAS;LINDA TAMI DE JESUS; 39.398.197/0001-02;RUA SANTA TEREZINHA;529;;NOSSA SENHORA DAS GRACAS;92025-620;GLP;08/07/2025;104,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
CO;GO;APARECIDA DE GOIANIA;ERICA ALESSANDRA DE SOUZA MENDONCA  LTDA; 37.931.982/0001-45;AVENIDA GUYRAUPIA;S/Nº;QUADRA079                 LOTE  0010;JARDIM HELVECIA;74933-560;GLP;07/07/2025;95,00;;R$ / 13 kg;BRANCA
S;PR;CURITIBA;WELLINGTON DOS SANTOS RODRIGUES; 02.956.933/0001-82;RUA MATEUS LEME;6037;;ABRANCHES;82130-085;GLP;08/07/2025;99,00;;R$ / 13 kg;ULTRAGAZ
NE;CE;FORTALEZA;REVENDA DE GAS MORORO LTDA; 39.999.143/0001-94;AVENIDA BERNARDO MANUEL;10580;;MONDUBIM;60761-740;GLP;08/07/2025;115,00;;R$ / 13 kg;MINASGAS
SE;RJ;SAO GONCALO;FACC COMERCIO TRANSPORTE DE GAS LTDA; 38.200.052/0001-84;AVENIDA JOSE MENDONCA DE CAMPOS;90;;MUTONDO;24450-265;GLP;09/07/2025;98,99;;R$ / 13 kg;BRANCA
CO;MT;RONDONOPOLIS;MATO GROSSO DISTRIBUIDORA DE GAS LTDA; 05.131.759/0031-42;RUA ADOLFO F. CAMINHA;121;QUADRA24                  LOTE  12                  SETOR 19;JARDIM ATLANTICO;78735-693;GLP;08/07/2025;125,00;;R$ / 13 kg;BRANCA
NE;MA;SAO LUIS;L S COMERCIO E SERVICOS LTDA; 12.125.791/0009-12;AVENIDA JERONIMO DE ALBUQUERQUE MARANHAO;5;;COHAB ANIL I;65051-210;GLP;09/07/2025;119,99;;R$ / 13 kg;LIQUIGÁS
CO;MS;CAMPO GRANDE;AUTO POSTO FENNER LTDA; 10.839.948/0002-70;AVENIDA DOUTOR HEITOR MEDEIROS;36;;VILA MARLI;79117-380;GLP;07/07/2025;105,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;GUARULHOS;SPEEDGAS LTDA; 37.919.510/0001-77;AVENIDA ARMANDO BEI;297;;VILA NOVA BONSUCESSO;07175-000;GLP;10/07/2025;99,99;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;PR;CURITIBA;G.T.L REVENDA DE GAS LTDA; 39.870.231/0001-91;RUA FAGUNDES VARELA;886;;JARDIM SOCIAL;82520-040;GLP;10/07/2025;105,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
N;RO;PORTO VELHO;A M SOARES COMERCIO DE ALIMENTOS; 28.657.651/0001-78;RUA JOSE VIEIRA CAULA;7192;;ESPERANCA DA COMUNIDADE;76825-144;GLP;08/07/2025;115,00;;R$ / 13 kg;FOGAS
NE;SE;ARACAJU;REDE DE POSTOS PRESIDENTE LTDA; 32.864.795/0026-20;AVENIDA GENERAL EUCLIDES FIGUEIREDO;549;;SOLEDADE;49089-025;GLP;08/07/2025;99,90;;R$ / 13 kg;LIQUIGÁS
NE;AL;MACEIO;CASSIO SANTOS DA SILVA; 37.872.230/0001-50;RUA TRAIPU;S/N;;CANAA;57080-060;GLP;09/07/2025;102,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
CO;MS;CAMPO GRANDE;POSTO VIA NORTE LTDA; 20.025.135/0001-19;AVENIDA CORONEL ANTONINO;4490;;VILA CANTEIRO CENTRAL AV CEL ANTONINO;79033-000;GLP;07/07/2025;94,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;JACAREI;COMERCIAL GASMAIS LTDA; 16.103.050/0006-49;RUA SANTO IVO;622;;CIDADE SALVADOR;12312-190;GLP;09/07/2025;99,99;;R$ / 13 kg;ULTRAGAZ
S;PR;MARINGA;ROSEMARY JANUARIA PITA DE SOUZA - GAS E AGUA; 39.790.268/0001-00;AVENIDA DOUTOR ALEXANDRE RASGULAEFF;1328;;JARDIM ALVORADA;87033-080;GLP;07/07/2025;100,00;;R$ / 13 kg;BRANCA
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO BEIRA DO RIO - RIO PRETO LTDA; 17.559.977/0001-46;AVENIDA DR. ERNANI PIRES DOMINGUES;1810;;VILA NOSSA SENHORA DA PENHA;15045-388;GLP;09/07/2025;109,99;;R$ / 13 kg;BRANCA
NE;MA;SAO LUIS;L S COMERCIO E SERVICOS LTDA; 12.125.791/0013-07;AVENIDA SAO LUIS REI DE FRANCA;190;;TURU;65065-470;GLP;09/07/2025;119,99;;R$ / 13 kg;COPA ENERGIA
SE;SP;SAO CARLOS;PIZELLI GAS LTDA; 41.038.758/0001-04;RUA ESTADOS UNIDOS;1035;;VILA COSTA DO SOL;13566-050;GLP;10/07/2025;125,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;ES;VILA VELHA;ALEKSANDER BRAIDO BRUNORO; 11.899.367/0001-05;RUA GOIAS;727;;SOTECO;29106-190;GLP;09/07/2025;99,99;;R$ / 13 kg;SUPERGASBRAS ENERGIA
CO;DF;BRASILIA;RIBA COMERCIO VAREJISTA DE GAS LTDA; 37.253.335/0001-21;AREA ADE CONJUNTO 5 LOTE;4;;SAMAMBAIA SUL (SAMAMBAIA);72314-705;GLP;09/07/2025;99,99;;R$ / 13 kg;BRANCA
SE;ES;VILA VELHA;DEPOSITO DE GAS ILHA DAS FLORES EIRELI; 40.650.750/0001-23;RUA BASILIO COSTALONGA;228;;ILHA DAS FLORES;29115-560;GLP;10/07/2025;100,00;;R$ / 13 kg;BRANCA
N;AM;MANAUS;AUTO POSTO PONTA NEGRA LTDA; 35.008.891/0001-07;AVENIDA CORONEL TEIXEIRA;7461;;NOVA ESPERANCA;69037-473;GLP;07/07/2025;120,00;;R$ / 13 kg;FOGAS
NE;AL;MACEIO;PAULO VICTOR LINS LIMA; 41.854.511/0001-58;RUA SAO FRANCISCO;S/N;;OURO PRETO;57045-838;GLP;09/07/2025;105,00;;R$ / 13 kg;COPA ENERGIA
CO;MS;CAMPO GRANDE;AUTO POSTO ECOLOGICO LTDA; 18.947.284/0001-93;AVENIDA DUQUE DE CAXIAS;3144;;JARDIM VERA CRUZ;79101-001;GLP;07/07/2025;120,00;;R$ / 13 kg;ULTRAGAZ
SE;ES;VILA VELHA;A. M. SANTANA GAS E AGUA; 33.889.390/0001-51;RUA JOSE BONIFACIO;2230;GALPAO01;ARIBIRI;29120-380;GLP;09/07/2025;100,00;;R$ / 13 kg;BRANCA
SE;MG;BELO HORIZONTE;MIX GAS COMERCIO LTDA; 40.801.073/0001-05;RUA BOAVENTURA COSTA;186;;BARREIRO;30640-490;GLP;08/07/2025;95,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;GUARULHOS;PUROGAS COMERCIO DE GAS LTDA; 38.195.938/0001-87;AVENIDA GUARULHOS;3681;;PONTE GRANDE;07031-000;GLP;10/07/2025;109,99;;R$ / 13 kg;LIQUIGÁS
S;PR;CURITIBA;SBRISSIA COMERCIO DE COMBUSTIVEIS LTDA; 33.496.808/0001-60;AVENIDA NOSSA SENHORA DE LOURDES;900;;JARDIM DAS AMERICAS;81530-020;GLP;10/07/2025;99,00;;R$ / 13 kg;BRANCA
SE;MG;CONTAGEM;DISTRIBUIDORA DE GAS E AGUA SONAR LTDA; 39.969.820/0001-21;RUA ANGICO;257;;JARDIM LAGUNA;32140-140;GLP;10/07/2025;115,00;;R$ / 13 kg;COPA ENERGIA
SE;RJ;NOVA IGUACU;BETEL COMERCIO DE GLP LTDA; 40.155.617/0001-09;ESTRADA LUIZ MARIO DA ROCHA LIMA;270;LOJA  0;AUSTIN;26086-070;GLP;09/07/2025;110,00;;R$ / 13 kg;BRANCA
SE;SP;GUARULHOS;RIZZO PONTE ALTA COMERCIO DE GAS LTDA; 30.984.448/0001-58;AVENIDA JOSE RANGEL FILHO;61;;JARDIM PONTE ALTA I;07179-350;GLP;10/07/2025;96,99;;R$ / 13 kg;CONSIGAZ
